GEOFIPS,Geo_QName,Geo_NAME,Occupied Housing Units,Owner Occupied,Renter Occupied,Median Value
06037121102,"Census Tract 1211.02, Los Angeles County, California",Census Tract 1211.02,755,485,270,570800
06037121210,"Census Tract 1212.10, Los Angeles County, California",Census Tract 1212.10,781,515,266,558500
06037121221,"Census Tract 1212.21, Los Angeles County, California",Census Tract 1212.21,517,406,111,538800
06037121222,"Census Tract 1212.22, Los Angeles County, California",Census Tract 1212.22,1233,546,687,596600
06037121600,"Census Tract 1216, Los Angeles County, California",Census Tract 1216,837,684,153,619200
06037121801,"Census Tract 1218.01, Los Angeles County, California",Census Tract 1218.01,1118,279,839,575500
06037121802,"Census Tract 1218.02, Los Angeles County, California",Census Tract 1218.02,708,455,253,605000
06037121900,"Census Tract 1219, Los Angeles County, California",Census Tract 1219,1009,451,558,605400
06037122000,"Census Tract 1220, Los Angeles County, California",Census Tract 1220,1576,1041,535,612600
06037122120,"Census Tract 1221.20, Los Angeles County, California",Census Tract 1221.20,1185,668,517,598100
06037122121,"Census Tract 1221.21, Los Angeles County, California",Census Tract 1221.21,771,316,455,528900
06037122122,"Census Tract 1221.22, Los Angeles County, California",Census Tract 1221.22,638,157,481,397900
06037122200,"Census Tract 1222, Los Angeles County, California",Census Tract 1222,860,438,422,566900
06037122410,"Census Tract 1224.10, Los Angeles County, California",Census Tract 1224.10,1172,198,974,519200
06037122420,"Census Tract 1224.20, Los Angeles County, California",Census Tract 1224.20,1340,425,915,638200
06037123010,"Census Tract 1230.10, Los Angeles County, California",Census Tract 1230.10,1005,332,673,577800
06037123020,"Census Tract 1230.20, Los Angeles County, California",Census Tract 1230.20,753,438,315,514400
06037123103,"Census Tract 1231.03, Los Angeles County, California",Census Tract 1231.03,1619,617,1002,588300
06037123104,"Census Tract 1231.04, Los Angeles County, California",Census Tract 1231.04,1581,550,1031,679300
06037123203,"Census Tract 1232.03, Los Angeles County, California",Census Tract 1232.03,981,124,857,603300
06037123204,"Census Tract 1232.04, Los Angeles County, California",Census Tract 1232.04,1016,194,822,706300
06037123205,"Census Tract 1232.05, Los Angeles County, California",Census Tract 1232.05,764,152,612,718800
06037123206,"Census Tract 1232.06, Los Angeles County, California",Census Tract 1232.06,792,170,622,532300
06037123301,"Census Tract 1233.01, Los Angeles County, California",Census Tract 1233.01,1625,679,946,531300
06037123303,"Census Tract 1233.03, Los Angeles County, California",Census Tract 1233.03,893,294,599,634400
06037123304,"Census Tract 1233.04, Los Angeles County, California",Census Tract 1233.04,1749,403,1346,648900
06037123410,"Census Tract 1234.10, Los Angeles County, California",Census Tract 1234.10,1212,263,949,602300
06037123420,"Census Tract 1234.20, Los Angeles County, California",Census Tract 1234.20,1623,535,1088,623300
06037123510,"Census Tract 1235.10, Los Angeles County, California",Census Tract 1235.10,1621,352,1269,780000
06037123520,"Census Tract 1235.20, Los Angeles County, California",Census Tract 1235.20,761,292,469,678100
06037123601,"Census Tract 1236.01, Los Angeles County, California",Census Tract 1236.01,1897,779,1118,646300
06037123602,"Census Tract 1236.02, Los Angeles County, California",Census Tract 1236.02,1235,535,700,846000
06037123700,"Census Tract 1237, Los Angeles County, California",Census Tract 1237,1672,742,930,641800
06037123800,"Census Tract 1238, Los Angeles County, California",Census Tract 1238,2237,1033,1204,844500
06037123901,"Census Tract 1239.01, Los Angeles County, California",Census Tract 1239.01,1402,502,900,741100
06037123902,"Census Tract 1239.02, Los Angeles County, California",Census Tract 1239.02,1084,413,671,825500
06037124000,"Census Tract 1240, Los Angeles County, California",Census Tract 1240,2113,983,1130,1037300
06037124102,"Census Tract 1241.02, Los Angeles County, California",Census Tract 1241.02,1360,283,1077,789400
06037124103,"Census Tract 1241.03, Los Angeles County, California",Census Tract 1241.03,570,198,372,678300
06037124104,"Census Tract 1241.04, Los Angeles County, California",Census Tract 1241.04,1015,146,869,746200
06037124105,"Census Tract 1241.05, Los Angeles County, California",Census Tract 1241.05,848,142,706,605100
06037124201,"Census Tract 1242.01, Los Angeles County, California",Census Tract 1242.01,1069,577,492,643800
06037124203,"Census Tract 1242.03, Los Angeles County, California",Census Tract 1242.03,793,242,551,676900
06037124204,"Census Tract 1242.04, Los Angeles County, California",Census Tract 1242.04,873,105,768,433900
06037124300,"Census Tract 1243, Los Angeles County, California",Census Tract 1243,1210,365,845,729200
06037124400,"Census Tract 1244, Los Angeles County, California",Census Tract 1244,1643,500,1143,940500
06037124500,"Census Tract 1245, Los Angeles County, California",Census Tract 1245,1218,638,580,865700
06037124600,"Census Tract 1246, Los Angeles County, California",Census Tract 1246,1252,428,824,930500
06037124700,"Census Tract 1247, Los Angeles County, California",Census Tract 1247,2427,1019,1408,999400
06037124902,"Census Tract 1249.02, Los Angeles County, California",Census Tract 1249.02,1556,233,1323,813000
06037124903,"Census Tract 1249.03, Los Angeles County, California",Census Tract 1249.03,1567,355,1212,566800
06037125101,"Census Tract 1251.01, Los Angeles County, California",Census Tract 1251.01,2032,358,1674,536600
06037125102,"Census Tract 1251.02, Los Angeles County, California",Census Tract 1251.02,834,367,467,1394200
06037125200,"Census Tract 1252, Los Angeles County, California",Census Tract 1252,1774,498,1276,896200
06037125310,"Census Tract 1253.10, Los Angeles County, California",Census Tract 1253.10,1959,279,1680,831100
06037125321,"Census Tract 1253.21, Los Angeles County, California",Census Tract 1253.21,1382,119,1263,461600
06037125322,"Census Tract 1253.22, Los Angeles County, California",Census Tract 1253.22,1359,0,1359,
06037125402,"Census Tract 1254.02, Los Angeles County, California",Census Tract 1254.02,2037,450,1587,728800
06037125403,"Census Tract 1254.03, Los Angeles County, California",Census Tract 1254.03,1248,68,1180,356700
06037125404,"Census Tract 1254.04, Los Angeles County, California",Census Tract 1254.04,1553,0,1553,
06037125501,"Census Tract 1255.01, Los Angeles County, California",Census Tract 1255.01,1609,168,1441,710700
06037125502,"Census Tract 1255.02, Los Angeles County, California",Census Tract 1255.02,1974,479,1495,701100
06037125600,"Census Tract 1256, Los Angeles County, California",Census Tract 1256,1243,618,625,1250000
06037127102,"Census Tract 1271.02, Los Angeles County, California",Census Tract 1271.02,1515,594,921,454300
06037127103,"Census Tract 1271.03, Los Angeles County, California",Census Tract 1271.03,1215,214,1001,340400
06037127104,"Census Tract 1271.04, Los Angeles County, California",Census Tract 1271.04,1404,426,978,595000
06037127210,"Census Tract 1272.10, Los Angeles County, California",Census Tract 1272.10,1879,527,1352,536300
06037127220,"Census Tract 1272.20, Los Angeles County, California",Census Tract 1272.20,1681,498,1183,540500
06037127300,"Census Tract 1273, Los Angeles County, California",Census Tract 1273,1337,485,852,605900
06037127400,"Census Tract 1274, Los Angeles County, California",Census Tract 1274,1917,519,1398,529800
06037127520,"Census Tract 1275.20, Los Angeles County, California",Census Tract 1275.20,1482,52,1430,256700
06037127603,"Census Tract 1276.03, Los Angeles County, California",Census Tract 1276.03,918,116,802,613600
06037127604,"Census Tract 1276.04, Los Angeles County, California",Census Tract 1276.04,1431,176,1255,529700
06037127605,"Census Tract 1276.05, Los Angeles County, California",Census Tract 1276.05,1182,185,997,612400
06037127606,"Census Tract 1276.06, Los Angeles County, California",Census Tract 1276.06,1106,360,746,593500
06037127711,"Census Tract 1277.11, Los Angeles County, California",Census Tract 1277.11,1113,464,649,708900
06037127712,"Census Tract 1277.12, Los Angeles County, California",Census Tract 1277.12,1540,207,1333,640900
06037127803,"Census Tract 1278.03, Los Angeles County, California",Census Tract 1278.03,1643,375,1268,605100
06037127804,"Census Tract 1278.04, Los Angeles County, California",Census Tract 1278.04,1575,376,1199,499000
06037127805,"Census Tract 1278.05, Los Angeles County, California",Census Tract 1278.05,1241,251,990,690300
06037127806,"Census Tract 1278.06, Los Angeles County, California",Census Tract 1278.06,1143,268,875,572700
06037127910,"Census Tract 1279.10, Los Angeles County, California",Census Tract 1279.10,1449,343,1106,598900
06037127920,"Census Tract 1279.20, Los Angeles County, California",Census Tract 1279.20,1483,604,879,625600
06037128101,"Census Tract 1281.01, Los Angeles County, California",Census Tract 1281.01,1065,309,756,696000
06037128102,"Census Tract 1281.02, Los Angeles County, California",Census Tract 1281.02,1557,299,1258,596900
06037128210,"Census Tract 1282.10, Los Angeles County, California",Census Tract 1282.10,1584,53,1531,450000
06037128220,"Census Tract 1282.20, Los Angeles County, California",Census Tract 1282.20,1175,349,826,665100
06037128302,"Census Tract 1283.02, Los Angeles County, California",Census Tract 1283.02,1488,200,1288,566700
06037128303,"Census Tract 1283.03, Los Angeles County, California",Census Tract 1283.03,1154,82,1072,372200
06037128400,"Census Tract 1284, Los Angeles County, California",Census Tract 1284,1781,1023,758,781900
06037128500,"Census Tract 1285, Los Angeles County, California",Census Tract 1285,2077,893,1184,698000
06037128601,"Census Tract 1286.01, Los Angeles County, California",Census Tract 1286.01,1673,309,1364,771300
06037128602,"Census Tract 1286.02, Los Angeles County, California",Census Tract 1286.02,1270,598,672,929700
06037128703,"Census Tract 1287.03, Los Angeles County, California",Census Tract 1287.03,1598,313,1285,611700
06037128704,"Census Tract 1287.04, Los Angeles County, California",Census Tract 1287.04,934,548,386,917400
06037128801,"Census Tract 1288.01, Los Angeles County, California",Census Tract 1288.01,1929,465,1464,655200
06037128802,"Census Tract 1288.02, Los Angeles County, California",Census Tract 1288.02,1954,658,1296,836900
06037128910,"Census Tract 1289.10, Los Angeles County, California",Census Tract 1289.10,1846,926,920,952000
06037131021,"Census Tract 1310.21, Los Angeles County, California",Census Tract 1310.21,1029,197,832,625000
06037131022,"Census Tract 1310.22, Los Angeles County, California",Census Tract 1310.22,1011,143,868,616000
06037131023,"Census Tract 1310.23, Los Angeles County, California",Census Tract 1310.23,844,410,434,542700
06037131024,"Census Tract 1310.24, Los Angeles County, California",Census Tract 1310.24,1002,497,505,579600
06037131100,"Census Tract 1311, Los Angeles County, California",Census Tract 1311,1047,928,119,626600
06037131200,"Census Tract 1312, Los Angeles County, California",Census Tract 1312,1220,929,291,612900
06037131300,"Census Tract 1313, Los Angeles County, California",Census Tract 1313,1186,878,308,597600
06037131400,"Census Tract 1314, Los Angeles County, California",Census Tract 1314,1840,845,995,535500
06037131600,"Census Tract 1316, Los Angeles County, California",Census Tract 1316,1305,1111,194,565000
06037131701,"Census Tract 1317.01, Los Angeles County, California",Census Tract 1317.01,1906,930,976,539300
06037131702,"Census Tract 1317.02, Los Angeles County, California",Census Tract 1317.02,1243,858,385,597700
06037131801,"Census Tract 1318.01, Los Angeles County, California",Census Tract 1318.01,979,144,835,532900
06037131802,"Census Tract 1318.02, Los Angeles County, California",Census Tract 1318.02,742,601,141,591000
06037131900,"Census Tract 1319, Los Angeles County, California",Census Tract 1319,1361,1040,321,623400
06037132001,"Census Tract 1320.01, Los Angeles County, California",Census Tract 1320.01,1188,739,449,605700
06037132002,"Census Tract 1320.02, Los Angeles County, California",Census Tract 1320.02,1145,657,488,632700
06037132101,"Census Tract 1321.01, Los Angeles County, California",Census Tract 1321.01,1591,638,953,627900
06037132102,"Census Tract 1321.02, Los Angeles County, California",Census Tract 1321.02,2141,952,1189,551900
06037132301,"Census Tract 1323.01, Los Angeles County, California",Census Tract 1323.01,1373,97,1276,357600
06037132302,"Census Tract 1323.02, Los Angeles County, California",Census Tract 1323.02,977,406,571,600700
