"FIPS","Name of Area","Qualifying Name","Nation","State","County","Census Tract","Total Population","Not Hispanic or Latino","Not Hispanic or Latino: White Alone","Not Hispanic or Latino: Black or African American Alone","Not Hispanic or Latino: American Indian and Alaska Native Alone","Not Hispanic or Latino: Asian Alone","Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Not Hispanic or Latino: Some Other Race Alone","Not Hispanic or Latino: Two or More Races","Hispanic or Latino","Hispanic or Latino: White Alone","Hispanic or Latino: Black or African American Alone","Hispanic or Latino: American Indian and Alaska Native Alone","Hispanic or Latino: Asian Alone","Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Hispanic or Latino: Some Other Race Alone","Hispanic or Latino: Two or More Races","Total Population","Housing Units","Housing Units","Housing Units: Occupied","Housing Units: Vacant","Average Commute to Work (in Min)","Owner-Occupied Housing Units: Median Value [Dollars adjusted for inflation to match value in 2021]","Occupied Housing Units","Occupied Housing Units: Owner Occupied","Occupied Housing Units: Renter Occupied"
Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T013_009,SE_T013_010,SE_T013_011,SE_T013_012,SE_T013_013,SE_T013_014,SE_T013_015,SE_T013_016,SE_T013_017,SE_T001_001,SE_T155_001,SE_T157_001,SE_T157_002,SE_T157_003,SE_T198_001,SE_T163_001,SE_T156_001,SE_T156_002,SE_T156_003
"06037104821","Census Tract 1048.21","Census Tract 1048.21, Los Angeles County, California","00","06","037","104821",3334,416.982,188.075,32.78939,8.04268,155.2856,1.237335,9.898683,21.65337,2917.018,1089.474,8.661347,47.01874,0,0,1627.096,144.7682,3334,785.089255891631,785.089255891631,772.715902764892,12.3733531267397,23,241418.978489766,772.715902764892,309.333828168491,463.3820745964
"06037104822","Census Tract 1048.22","Census Tract 1048.22, Los Angeles County, California","00","06","037","104822",2272.108,267.755,123.9281,21.77569,5.60436,96.06056,1.0143,5.976909,13.39511,2004.353,734.3022,6.138228,30.9553,0.1068745,0.8015589,1131.117,100.9319,2272.10793289938,526.786140471995,526.786140471995,516.856890765509,9.92924970648555,23,239195.831689815,516.856890765509,219.161373711445,297.695517054064
"06037106010","Census Tract 1060.10","Census Tract 1060.10, Los Angeles County, California","00","06","037","106010",2866.406,1201.749,794.9292,234.8393,13.76068,107.1976,0.02262264,5.486173,45.51355,1664.657,737.027,13.02023,18.12793,10.94972,2.078052,815.3926,68.06151,2866.40617223763,926.894277785063,926.894277785063,903.219850635653,23.6744271494098,29,291251.797303666,903.219850635653,637.80082551726,265.419025118393
"06037106020","Census Tract 1060.20","Census Tract 1060.20, Los Angeles County, California","00","06","037","106020",5060,1648.393,1155.18,163.5345,36.5343,177.4523,6.958914,15.65756,93.07547,3411.607,1344.81,7.828778,40.01375,6.089049,6.958914,1815.407,190.5003,5060,1373.51555784769,1373.51555784769,1333.50180505415,40.0137527935362,30,274269.885514267,1333.50180505415,1014.26164689703,319.240158157126
"06037106111","Census Tract 1061.11","Census Tract 1061.11, Los Angeles County, California","00","06","037","106111",3869,1927,1429,176,23,208,2,7,82,1942,804,5,13,3,1,1027,89,3869,1201,1201,1171,30,32,276183.629511493,1171,1046,125
"06037106112","Census Tract 1061.12","Census Tract 1061.12, Los Angeles County, California","00","06","037","106112",4753,1527,1205,164,13,76,3,5,61,3226,1142,12,27,4,1,1879,161,4753,1212,1212,1179,33,28,243717.606116281,1179,975,204
"06037106113","Census Tract 1061.13","Census Tract 1061.13, Los Angeles County, California","00","06","037","106113",3084,1082,817,110,4,103,0,8,40,2002,858,8,20,6,0,1021,89,3084,811,811,797,14,26,250139.698994648,797,659,138
"06037106114","Census Tract 1061.14","Census Tract 1061.14, Los Angeles County, California","00","06","037","106114",5137.284,1176.168,696.1238,293.0087,28.0071,119.014,0.0003941973,6.001577,34.01222,3961.117,1425.451,7.003745,56.01419,8.002168,5.000394,2271.598,188.0473,5137.28429478333,1450.30688259325,1450.30688259325,1413.29840735144,37.0084752418175,26,184667.172739678,1413.29840735144,659.211092650851,754.087314700585
"06037106403","Census Tract 1064.03","Census Tract 1064.03, Los Angeles County, California","00","06","037","106403",3619,597,490,30,4,52,1,2,18,3022,1412,4,49,2,0,1417,138,3619,825,825,801,24,29,239294.371468125,801,628,173
"06037106405","Census Tract 1064.05","Census Tract 1064.05, Los Angeles County, California","00","06","037","106405",3677,1551.021,1145.956,206.2509,13.3922,130.6311,1.099311,4.477432,49.21445,2125.979,986.2018,10.17586,29.02591,7.855554,2.686738,993.594,96.43913,3677,1202.31616983861,1202.31616983861,1165.88133180259,36.4348380360158,31,242167.821952931,1165.88133180259,882.522471197899,283.358860604696
